DATE,TMIN,TMIN
"
8/1/2015",87°,69°
"
8/2/2015",84°,69°
"
8/3/2015",83°,70°
"
8/4/2015",84°,69°
"
8/5/2015",85°,68°
"
8/6/2015",85°,67°
"
8/7/2015",84°,69°
"
8/8/2015",83°,68°
"
8/9/2015",82°,69°
"
8/10/2015",81°,69°
"
8/11/2015",84°,68°
"
8/12/2015",80°,68°
"
8/13/2015",82°,68°
"
8/14/2015",85°,69°
"
8/15/2015",88°,69°
"
8/16/2015",85°,72°
"
8/17/2015",85°,68°
"
8/18/2015",87°,70°
"
8/19/2015",88°,72°
"
8/20/2015",89°,72°
"
8/21/2015",83°,70°
"
8/22/2015",81°,69°
"
8/23/2015",84°,69°
"
8/24/2015",83°,68°
"
8/25/2015",85°,67°
"
8/26/2015",86°,67°
"
8/27/2015",80°,69°
"
8/28/2015",82°,67°
"
8/29/2015",85°,67°
"
8/30/2015",85°,70°
"
8/31/2015",85°,69°
"
9/1/2015",88°,70°
"
9/2/2015",87°,71°
"
9/3/2015",89°,72°
"
9/4/2015",89°,70°
"
9/5/2015",87°,68°
"
9/6/2015",87°,70°
"
9/7/2015",83°,68°
"
9/8/2015",82°,68°
"
9/9/2015",79°,69°
"
9/10/2015",81°,67°
"
9/11/2015",81°,67°
"
9/12/2015",83°,68°
"
9/13/2015",85°,67°
"
9/14/2015",82°,67°
"
9/15/2015",81°,67°
"
9/16/2015",83°,68°
"
9/17/2015",81°,68°
"
9/18/2015",84°,66°
"
9/19/2015",85°,68°
"
9/20/2015",84°,70°
"
9/21/2015",85°,67°
"
9/22/2015",88°,69°
"
9/23/2015",88°,69°
"
9/24/2015",92°,69°
"
9/25/2015",87°,66°
"
9/26/2015",84°,68°
"
9/27/2015",89°,69°
"
9/28/2015",85°,67°
"
9/29/2015",85°,69°
"
9/30/2015",85°,70°
"
10/1/2015",86°,70°
"
10/2/2015",86°,71°
"
10/3/2015",85°,70°
"
10/4/2015",84°,68°
"
10/5/2015",80°,68°
"
10/6/2015",83°,67°
"
10/7/2015",86°,69°
"
10/8/2015",84°,70°
"
10/9/2015",85°,69°
