DATE,TMIN,TMIN
20151017,88°,70°

20151018,89°,69°

20151019,89°,69°

20151020,88°,71°

20151021,87°,70°

20151022,88°,68°

20151023,88°,65°

20151024,89°,67°

20151025,86°,64°

20151026,85°,68°

20151027,85°,69°

20151028,87°,69°

20151029,85°,67°

20151030,87°,69°

20151031,85°,69°

20151101,82°,71°

20151102,88°,70°

20151103,81°,67°

20151104,84°,68°

20151105,82°,67°

20151106,85°,68°

20151107,83°,68°

20151108,81°,67°

20151109,71°,67°

20151110,69°,65°

20151111,72°,66°

20151112,76°,67°

20151113,72°,63°

20151114,77°,61°

20151115,70°,66°

20151116,71°,63°

20151117,71°,65°

20151118,74°,66°

20151119,76°,67°

20151120,80°,68°

20151121,78°,67°

20151122,76°,68°

20151123,77°,66°

20151124,78°,65°

20151125,82°,64°

20151126,82°,64°

20151127,84°,67°

20151128,85°,62°

20151129,77°,63°

20151130,79°,67°

20151201,75°,67°

20151202,75°,67°

20151203,77°,66°

20151204,82°,64°

20151205,81°,64°

20151206,81°,65°

20151207,84°,64°

20151208,83°,63°

20151209,78°,65°

20151210,76°,68°

20151211,84°,65°

20151212,86°,68°

20151213,88°,69°

20151214,86°,67°

20151215,86°,68°

20151216,87°,66°

20151217,83°,62°

20151218,80°,63°

20151219,83°,66°

20151220,83°,66°

20151221,84°,65°

20151222,85°,62°

20151223,82°,64°

20151224,85°,63°

20151225,83°,61°

20151226,82°,65°

20151227,79°,64°

20151228,81°,63°

20151229,85°,60°

20151230,85°,58°

20151231,83°,58°
